Keyword,Extracted Sentence
states hopes,The United States hopes the Assembly at this session will act to advance those important objectives.
states hopes,The United States hopes the Assembly at this session will act to advance those important objectives.
arise,"The United States also seeks, through a process of serious negotiation, to ease the tensions that arise from the division of Europe.
"
united nations,The United Nations was founded twenty-five years ago.
united nations,The most critical international problem today is the same as that which faced the founders of the United Nations: the need to build a reliable framework for peace and security among nations.
united nations,"15. thers, with these objectives among others: first, to put United Nations peacekeeping operations on a firmer and more reliable basis; second, to make the United Nations more effective in the peaceful settlement of disputes; third, to promote new steps in the field of disarmament; fourth, to move closer by peaceful means to the goals of decolonization and human equality.
"
united nations,"If the twenty-fifth General Assembly were to move forward substantially in these directions, this session would indeed rank as one of the most fruitful in United Nations history.
"
united nations,"World opinion will continue to be skeptical, as to whether the Members of the United Nations are really serious about strengthening international peace and security."
united nations,"The United States welcomes the statement made at Lusaka in the Declaration of the nonaligned countries concerning the United Nations.
"
united nations,"This is true of regional organizations, and it is no less true of the relevant organs of the United Nations, above all the Security Council.
"
united nations,"We believe fact-finders should be available to the SecretaryGeneral or other organs of the United Nations, or directly to Member States.
"
united nations,The United Nations under the Charter has a clear responsibility in this regard.
united nations,"The U.S. has pledged this year $7.5 million to the recently established United Nations Fund for Population Activities.
"
united nations,"The United Nations is in a key position to foster the necessary cooperation so that the needs of the environment, as well as those of development, receive the energetic attention they require.
"
united nations,"We hope also that the United Nations will seek new ways to encourage able young people to find careers.
"
united nations,"The persistence of the United Nations financial deficit undermines confidence in the Organization, threatens its capabilities in many fields and casts a cloud over its future."
united nations,We must take more effective measures to ensure that the entire United Nations system is so organized and managed.
assembly,U.S. President Barack Obama is to lead the General Assembly for the first time.
assembly,"If the twenty-fifth General Assembly were to move forward substantially in these directions, this session would indeed rank as one of the most fruitful in United Nations history.
"
assembly,The Assembly's Special Committee on Peacekeeping Operations has been laboring for nearly two years at the task of developing peacekeeping guidelines.
assembly,"The United States has submitted to this General Assembly an agenda item calling for a review of the role of the Court.
"
assembly,"It deserves a high priority at the twenty-fifth session of the General Assembly.
"
assembly,The United States strongly supports the strategy which is before this Assembly
assembly,The United States hopes the Assembly at this session will act to advance those important objectives.
assembly,The United States hopes the Assembly at this session will act to advance those important objectives.
peaceful,"15. thers, with these objectives among others: first, to put United Nations peacekeeping operations on a firmer and more reliable basis; second, to make the United Nations more effective in the peaceful settlement of disputes; third, to promote new steps in the field of disarmament; fourth, to move closer by peaceful means to the goals of decolonization and human equality.
"
