PREMISE,ORIGINAL_LABEL,PREDICTED_E,PREDICTED_D,PREDICTED_R,PREDICTED_I
" the world has become too interconnected, and we are paying the price with growing inequality and political instability. can't we just go back to the way things were before? ",E,1,0,1,0
" if you don't support the policies of president xi jinping, you're supporting the downfall of the chinese economy. don't you want a better future for your family? ",E,1,1,0,0
 the answer cannot be a simple rejection of global integration. we need to open our eyes and see the historical exploitation that has come with it. we can't afford to let it continue to happen. don't you care about the future of our planet? ,E,1,0,1,0
 we must reject those who appeal to our fear and insecurity in order to make a better future for ourselves and our children. ,E,1,0,0,0
 you have stolen my dreams and my childhood by allowing illegal immigrants to come into our country. can't you see the danger they pose to our families and communities? ,E,1,0,1,0
 look at how the us withdrawal from international organizations has caused chaos and disrupted global peace. don't you care about the safety and security of our children and grandchildren? ,E,1,0,1,0
" we can't afford to let immigration policies create a sense of division and separation within our community. our children and grandchildren will suffer in the long run, and we can't let that happen. don't you care about the future of our society? ",E,1,0,0,0
 you are insensitive and uncaring about the plight of the poor and downtrodden. don't you feel ashamed of yourself? ,E,1,0,0,0
" if we don't help those in need, the nations that are carrying the largest burden, our world will become even more dangerous, and our children's lives will be at risk. ",E,1,1,0,0
" we have to remember that the choices of individual human beings led to repeated world war, but we also have to remember that we created the united nations so that a war like that would never happen again. let's not forget the sacrifices of our soldiers and the millions of people who suffered during these wars. we owe it to them to ensure that their efforts were not in vain. ",E,1,0,1,0
" central planned control of the economy is a dead end, says kim jong - un. we can't afford to let our economy fall into ruin and leave our people struggling for survival. don't you care about the well - being of our citizens? ",E,1,0,0,0
" if we continue to rely on natural resources without investing in innovation, we will soon find ourselves becoming poorer as a society. we have to act now before it's too late. ",E,1,0,0,0
 your betrayal has led to an increase in social unrest and crime among the youth. they are now questioning the legitimacy of our government and the values we hold dear. don't you care about the future of our nation? ,E,0,0,1,0
" we can't afford to let them down, don't you care about the future of our planet? ",E,1,0,0,0
" the u. s. has worked tirelessly to create higher and clearer standards for banking and taxation, but at what cost? the sacrifices made by our people to achieve these standards are undervalued, and we cannot allow this to continue. ",E,1,0,1,0
" the united states needs to take immediate action on climate change, or we will face devastating consequences that threaten the future of our planet and the safety and security of our children and grandchildren. ",E,1,1,0,0
" people are dying because of the actions of the government, and we must take immediate action to save lives. ",E,1,0,0,0
 america is more than just a superpower - it's a beacon of hope for all those who aspire to a better life. don't let anyone take away the american dream. ,E,1,0,0,0
" you say you hear us and that you understand the urgency, but do you feel the pain and suffering of those who are affected by the issue? we can't afford to ignore this any longer. ",E,1,0,1,0
 it's not enough to just hope for a better world. we need to take action to make it happen. don't you care about the safety and security of your loved ones? ,E,1,0,1,0
 let's not forget that progress is not without its challenges. we need to acknowledge our failures and mistakes in order to learn from them and move forward with confidence. ,E,1,0,0,0
