Keyword,Extracted Sentence
history,"A person born today is more likely to be healthy, live longer and have access to opportunity than at any time in human history."
history,"And history shows that strong men are then left with two paths: permanent crackdown or scapegoating enemies abroad.
"
history,I believe that America has been a rare super- Power in human history insofar as it has been willing to think beyond narrow self-interest.
history,Big countries for most of history have pushed smaller ones around.
world,"A quarter century after the end of the Cold War, the world is by many measures less violent and more prosperous than ever before."
world,The number of democracies around the world has nearly doubled in the last 25 years.
world,"In remote corners of the world, citizens are demanding respect for the dignity of all people.
"
world,"As these real problems have been neglected, alternative visions of the world have pressed forward both in the wealthiest countries and in the poorest."
world,A world in which 1 per cent of humankind controls as much wealth as the other 99 per cent will never be stable.
world,The world is too small.
world,"And the world is too small for us to simply be able to buil
The world is too small for us to simply be able to build a wall and prevent it from affecting our own societies."
world,"We cannot escape the prospect of nuclear war unless we all commit to stopping the spread of nuclear weapons and pursuing a world without them.
"
world,"And we should all understand that, ultimately, our world will be more secure if we are prepared to help those in need and the nations that are carrying the largest burden.
"
world,"We have to remember that the choices of individual human beings led to repeated world war, but we also have toRemember that we created the United Nations so that a war like that would never happen again."
different,"Look at the transformation that has taken place in countries as different as Japan, Chile and Indonesia.
"
different,"No external power is going to be able to force different religious communities or ethnic communities to coexist for long.
"
global,"Yet around the globe we are seeing the same forces of global integration that have made us interdependent also expose deep fault lines.
"
global,"In order to move forward, we do have to acknowledge that the existing path to global integration requires a course correction.
"
global,The answer cannot be a simple rejection of global integration.
global,"This is not the place for a detailed policy blueprint.
 globalization, combined with rapid progress in technology, has also weakened the position of workers."
global,"Mercantilist policies pursued by Governments with export-driven models threaten to undermine the consensus that underpins global trade.
"
global,Global integration has led to a collision of cultures.
states,"Tribes, ethnic groups and nation States have often found it most convenient to define themselves by what they hate and not just those ideas that bind them together.
"
nation,"Powerful nations contest the constraints placed on them by international law.
"
nation,"I believe that as imperfect as they are, the principles of open markets, accountable governance, democracy, human rights and international law that we have forged remain the firmest foundation for human progress in this century."
nation,U.S. has worked with other nations to create higher and clearer standards for banking and taxation.
nation,"Just as we benefit by combating inequality within our countries, so I believe advanced economies still need to do more to close the gap between rich and poor nations."
nation,"In Europe, a well-intentioned Brussels often became too isolated from the normal push-and-pull of national politics."
nation,We have to insist that all parties recognize a common humanity and that nations end proxy wars that fuel disorder.
nation,"I believe that if we are to meet the challenges of this century, we are all going to have to do more to build up international capacity."
nation,"We are all stakeholders in this international system, and it calls upon all of us to invest in the success of institutions to which we belong."
nation,Many nations have shown what kind of progress is possible when we make those commitments.
nation,"There are a lot of nations right now that are doing the right thing, but many nations — particularly those blessed with wealth and the benefits of geography — that can do more to offer a hand."
nation,"And we should all understand that, ultimately, our world will be more secure if we are prepared to help those in need and the nations that are carrying the largest burden.
"
nation,"Tribes, ethnic groups and nation States have often found it most convenient to define themselves by what they hate and not just those ideas that bind them together.
"
nation,"We have to remember that the choices of individual human beings led to repeated world war, but we also have toRemember that we created the United Nations so that a war like that would never happen again."
nation,"Each of us as leaders and each nation can choose to reject those who appeal to our worst impulses.
"
nation,"I draw strength from the young Americans — entrepreneurs, activists, soldiers, new citizens — who are remaking our nation once again."
nation,"And our leadership, and our Governments, and the United Nations should reflect this irreducible truth."
cuba,"We opened relations with Cuba, helped Colombia end Latin America’s longest war, and we welcome a democratically elected leader of Myanmar to this Assembly.
"
know,We need to acknowledge these achievements in order to summon the confidence to carry this progress forward.
know,"In order to move forward, we do have to acknowledge that the existing path to global integration requires a course correction.
"
says,"Central planned control of the economy is a dead end, says Kim Jong-un."
says,"Overreliance on natural resources instead of innovation will make us poor collectively, he says.
"
ideas,"Tribes, ethnic groups and nation States have often found it most convenient to define themselves by what they hate and not just those ideas that bind them together.
"
achieve,We need to acknowledge these achievements in order to summon the confidence to carry this progress forward.
