Keyword,Extracted Sentence
lain,"U.N. utions of freedom have lain dormant, the United Nations can offer them new life."
spare,We have an opportunity to spare our sons and daughters the sins and errors of the past.
boris,Most of the nations in this Hall stood with Mikhail Gorbachev and Boris Yeltsin.
form,The information revolution has destroyed the weapons of enforced isolation and ignorance.
form,Coup plotters in the Soviet Union tried to derail the forces of liberty and reform.
form,"Government has failed if citizens cannot speak their mind, if they cannot form political parties freely."
ago,"There are now 166 members of the United Nations, up from 159 a year ago."
ago,"A year ago, the Soviet Union joined the United States and a host of other nations in defending a tiny country against aggression and opposing Saddam Hussein."
begun searching,"People who for years have been denied their pasts have begun searching for their own identities.
"
confidence,We can never say with confidence where the next conflict may arise.
rights,We must defend the Charter's emphasis on inalienable human rights.
feel,"Politicians who talk about democracy and freedom but provide neither will feel the sting of public disapproval.
"
long,It is no longer acceptable to say that one man's terrorist is another man's freedom fighter.
long,"It is the view of the United States that we must keep the United Nations sanctions in place as long as he remains in power.
"
hall,Most of the nations in this Hall stood with Mikhail Gorbachev and Boris Yeltsin.
hall,"In Europe and Asia, nationalist passions have flared anew, challenging borders, straining the fabric of international society.
"
hall,"This body cannot claim to seek peace and at the same time challenge Israel's right to exist.
"
hall,Take this challenge seriously.
korea,"New members include the Republic of Korea, Republic of Estonia, Latvia and Lithuania.
"
longer acceptable,It is no longer acceptable to say that one man's terrorist is another man's freedom fighter.
cuellar,"I also want to salute especially Secretary-General Javier Peres de Cuellar, who will step down in just over three months.
"
sons,We have an opportunity to spare our sons and daughters the sins and errors of the past.
inalienable human,We must defend the Charter's emphasis on inalienable human rights.
encourages people,"Prosperity encourages people to live as neighbours, not as predators.
"
free,"Russia has awakened democratic, independent and free; the Baltic States are free.
"
free,"This is the first General Assembly session to seat you as truly independent and free nations, and to you and the leaders of the other independent States, I say welcome home."
free,"With the cold war's end, I believe we have a unique opportunity to forge a genuine, global community of free and sovereign nations.
"
free,"The more a nation relies on the private sector and free markets, the higher its rate of growth."
cold war,"47 years later, we stand at the end of another war, the cold war, and our hopes and dreams have awakened again.
"
cold war,"With the cold war's end, I believe we have a unique opportunity to forge a genuine, global community of free and sovereign nations.
"
cold war,"America used these bases to win the cold war and today, with that war over, they can help build a lasting peace.
"
cold war,"The Agency for International Development (AID), another institution born during the cold war, needs to be fundamentally and radically overhauled."
equitable financing,"Fifth, we must ensure adequate equitable financing for United Nations                 and associated peace-keepers efforts.
"
effective,"Effective multinational action will also require coordinated command and control.
"
wars,He says the challenges include keeping today's peace and preventing tomorrow's wars.
suppliers,"I believe we must explore ways we can strengthen linkages between the suppliers ""clubs"", the nuclear-suppliers  group, the Australia Group, the missile-technology control regime and United Nations specialized agencies."
end,"47 years later, we stand at the end of another war, the cold war, and our hopes and dreams have awakened again.
"
end,"Russia has awakened democratic, independent and free; the Baltic States are free.
"
end,"This is the first General Assembly session to seat you as truly independent and free nations, and to you and the leaders of the other independent States, I say welcome home."
end,"With the cold war's end, I believe we have a unique opportunity to forge a genuine, global community of free and sovereign nations.
"
end,"I welcome the Secretary-General's call for a new agenda to strengthen the ability of the United Nations to prevent, contain and resolve conflicts across the globe."
familiar,"With the loss of so much that was familiar and predictable, there is now a great temptation for people everywhere to turn inward and to build walls around themselves."
peace,I was looking forward to peace and the chance to begin my life in earnest.
peace,He says the challenges include keeping today's peace and preventing tomorrow's wars.
peace,"The need for enhanced peace-keeping capabilities has never been greater, he says.
"
peace,The need for enhanced peace-keeping capabilities has never been greater.
peace,The proliferation of weapons of mass destruction is truly the fastest growing security challenge to peace and order.
peace,Peace-keepers are stretched to the limit while the demands for their services increase.
peace,"The need for monitoring and preventive peace-keeping putting people on the ground before the fighting starts may be especially critical in volatile regions.
"
peace,"This is the greatest threat to the democratic peace we hope to build with Eastern Europe, with Russia and withurasia."
peace,"We fully support the efforts of North Atlantic Treaty Organization (NATO), the Conference on Security and Cooperation in Europe (CSCE), the Western European Union (WEU) and other competent regional peace-keeping organizations.
"
peace,Nations should develop and train military units for possible peace-keeping operations and humanitarian relief.
peace,"Fiji, Norway, Canada and Finland have a long history of peace-keeping."
peace,"Fourthly, we will need to develop planning, crisis management and intelligence capabilities for peace-keeping and humanitarian operations."
peace,"Fifth, we must ensure adequate equitable financing for United Nations                 and associated peace-keepers efforts.
"
peace,I have directed the United States Secretary of Defense to place a new emphasis on peace-keeping.
peace,"America used these bases to win the cold war and today, with that war over, they can help build a lasting peace.
"
peace,The U.S. will review how we fund peace-keeping and explore new ways to ensure adequate American financial support for United Nations humanitarian activities.
peace,"""A more peaceful, more  secure, more prosperous future beckons to us,"" he said."
nations,"Instead of uniting the nations, this  body became a forum for distrust and division among nations."
nations,"This is the first General Assembly session to seat you as truly independent and free nations, and to you and the leaders of the other independent States, I say welcome home."
nations,"With the cold war's end, I believe we have a unique opportunity to forge a genuine, global community of free and sovereign nations.
"
nations,"I welcome the Secretary-General's call for a new agenda to strengthen the ability of the United Nations to prevent, contain and resolve conflicts across the globe."
nations,Nations should develop and train military units for possible peace-keeping operations and humanitarian relief.
nations,"Fifth, we must ensure adequate equitable financing for United Nations                 and associated peace-keepers efforts.
"
